match_id,home_team,away_team,home_elo,away_elo,elo_diff,home_form5,away_form5,form_diff,home_avg_goals,away_avg_goals,home_avg_conceded,away_avg_conceded,home_possession_avg,away_possession_avg,home_shots_avg,away_shots_avg,opponent_style_home,opponent_style_away,home_strategy_used,away_strategy_used,home_formation_used,away_formation_used,result,goal_diff
10,Team_3,Team_18,1924,1559,365,6,10,-4,2.1,2.53,1.56,1.0,42.64,56.93,9.06,11.83,Attacking,Possession,High Press,Low Block,4-3-3,5-3-2,Home Win,1.1
11,Team_19,Team_7,1730,1905,-175,6,11,-5,1.32,2.59,0.96,1.6,40.01,58.52,10.27,8.31,Counter,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.28
12,Team_8,Team_10,1810,1717,93,4,0,4,0.78,1.28,2.1,1.05,52.97,49.06,11.09,19.6,Attacking,Attacking,Counter Attack,Counter Attack,4-4-2,4-4-2,Away Win,-0.27
13,Team_4,Team_13,1963,1667,296,13,6,7,1.64,1.19,0.98,0.56,55.24,44.79,6.72,9.9,Attacking,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,1.08
14,Team_12,Team_6,1624,1784,-160,2,13,-11,0.83,1.63,2.18,0.91,56.8,45.82,9.33,16.2,Counter,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.08
15,Team_9,Team_3,1679,1597,82,5,10,-5,2.38,2.34,0.76,1.36,57.4,46.18,10.56,9.08,Counter,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,1.02
16,Team_6,Team_15,1745,1910,-165,2,3,-1,1.98,0.9,1.67,1.16,63.42,32.96,10.77,7.59,Defensive,Defensive,Low Block,High Press,5-3-2,4-3-3,Away Win,0.82
17,Team_18,Team_8,1550,1814,-264,13,9,4,1.09,2.02,1.89,1.44,53.24,44.18,7.3,18.56,Possession,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.35
18,Team_2,Team_11,1436,1559,-123,10,6,4,1.28,1.3,1.73,2.03,62.18,40.62,14.99,7.18,Counter,Attacking,Low Block,High Press,5-3-2,4-3-3,Home Win,-0.75
19,Team_7,Team_19,1819,1821,-2,7,3,4,1.84,1.36,2.1,2.16,47.1,50.95,12.8,12.28,Possession,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,-0.32
20,Team_16,Team_13,1560,1979,-419,0,13,-13,1.25,2.22,1.6,1.94,56.44,44.24,7.31,11.15,Counter,Defensive,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.69
21,Team_9,Team_5,1774,1421,353,13,13,0,2.74,1.4,2.02,1.57,59.87,40.16,14.08,12.9,Possession,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,1.17
22,Team_19,Team_14,1852,1915,-63,2,0,2,0.6,2.79,1.3,0.98,62.09,40.39,19.34,10.63,Defensive,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,-0.38
23,Team_5,Team_17,1701,1580,121,14,2,12,2.75,0.67,1.02,0.82,46.71,53.14,11.22,11.53,Possession,Counter,High Press,Low Block,4-3-3,5-3-2,Home Win,1.93
24,Team_4,Team_5,1965,1969,-4,2,7,-5,0.66,0.98,1.64,1.11,46.35,51.6,10.52,17.88,Possession,Attacking,Balanced,Counter Attack,4-2-3-1,4-4-2,Home Win,-0.45
25,Team_3,Team_13,1792,1645,147,6,12,-6,1.18,1.47,0.94,1.54,42.04,53.01,14.79,8.72,Defensive,Possession,High Press,Low Block,4-3-3,5-3-2,Away Win,-0.36
26,Team_9,Team_18,1911,1799,112,13,11,2,2.54,0.56,1.48,1.25,56.8,41.48,8.17,19.75,Possession,Possession,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,1.29
27,Team_18,Team_9,1549,1713,-164,9,5,4,1.08,0.59,1.02,1.41,48.17,55.11,9.8,19.51,Attacking,Attacking,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.33
28,Team_14,Team_6,1502,1595,-93,5,12,-7,0.95,1.45,1.69,0.74,43.32,61.38,16.0,6.57,Counter,Attacking,Balanced,Counter Attack,4-2-3-1,4-4-2,Draw,0.21
29,Team_9,Team_17,1519,1457,62,6,9,-3,0.56,2.71,1.92,1.68,50.22,46.51,8.19,9.5,Possession,Attacking,Balanced,Counter Attack,4-2-3-1,4-4-2,Away Win,-1.12
30,Team_10,Team_17,1517,1959,-442,8,7,1,2.65,1.97,1.38,1.62,50.89,51.41,6.67,13.92,Defensive,Attacking,Low Block,High Press,5-3-2,4-3-3,Away Win,1.03
31,Team_12,Team_6,1834,1485,349,8,12,-4,0.77,0.61,0.57,1.95,57.59,42.15,7.37,12.88,Defensive,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,-1.18
32,Team_16,Team_1,1950,1688,262,13,13,0,1.99,0.61,2.11,2.01,46.52,48.63,19.07,13.01,Attacking,Counter,High Press,Low Block,4-3-3,5-3-2,Home Win,-0.02
33,Team_10,Team_8,1724,1915,-191,7,6,1,2.67,2.49,1.58,1.86,56.93,43.8,7.8,17.36,Attacking,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,0.81
34,Team_19,Team_3,1826,1667,159,2,0,2,2.71,2.58,0.83,0.62,42.52,52.66,7.32,15.56,Attacking,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,2.09
35,Team_3,Team_18,1489,1817,-328,2,8,-6,1.64,2.09,1.09,2.09,40.98,58.2,19.55,13.67,Attacking,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.45
36,Team_16,Team_18,1856,1591,265,2,0,2,2.18,0.79,0.93,1.49,61.68,38.94,9.34,15.52,Defensive,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,0.69
37,Team_20,Team_14,1678,1616,62,2,8,-6,1.37,1.73,1.34,1.16,47.44,48.56,6.75,19.42,Defensive,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,0.21
38,Team_10,Team_13,1475,1664,-189,6,11,-5,2.69,2.69,1.47,1.57,51.21,46.72,10.6,15.42,Defensive,Defensive,Low Block,High Press,5-3-2,4-3-3,Away Win,1.12
39,Team_15,Team_4,1883,1964,-81,6,8,-2,0.76,2.64,2.16,2.19,41.4,60.97,13.64,15.88,Counter,Possession,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,-1.43
40,Team_3,Team_11,1987,1408,579,9,9,0,1.92,0.73,0.64,1.69,41.82,61.4,15.89,7.14,Defensive,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,0.23
41,Team_19,Team_8,1564,1821,-257,2,7,-5,1.36,1.35,1.88,2.11,64.65,37.88,11.27,7.17,Attacking,Defensive,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.75
42,Team_2,Team_8,1844,1581,263,6,10,-4,1.07,1.26,1.24,0.93,50.13,50.58,16.37,16.74,Attacking,Attacking,High Press,Low Block,4-3-3,5-3-2,Home Win,0.14
43,Team_11,Team_3,1760,1400,360,2,12,-10,1.05,1.42,1.31,0.64,53.21,46.15,17.23,19.69,Attacking,Attacking,High Press,Low Block,4-3-3,5-3-2,Home Win,0.41
44,Team_16,Team_7,1572,1548,24,5,4,1,2.78,0.67,1.44,2.15,53.08,48.21,15.74,12.36,Defensive,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,0.63
45,Team_8,Team_16,1772,1965,-193,5,2,3,2.57,0.6,0.98,2.12,62.26,37.3,14.68,9.88,Defensive,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,0.45
46,Team_4,Team_4,1747,1489,258,7,9,-2,1.03,1.11,1.11,0.94,51.33,43.99,9.92,11.76,Possession,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,0.09
47,Team_14,Team_15,1860,1957,-97,2,12,-10,2.66,1.46,1.49,2.06,42.07,61.7,13.72,8.31,Possession,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Draw,0.6
48,Team_2,Team_13,1773,1464,309,1,14,-13,0.85,1.87,1.15,2.15,61.05,42.33,12.56,11.81,Attacking,Attacking,High Press,Low Block,4-3-3,5-3-2,Home Win,-1.3
49,Team_7,Team_7,1784,1804,-20,6,5,1,2.09,1.73,1.77,2.05,54.63,47.63,16.6,11.29,Counter,Attacking,Balanced,Counter Attack,4-2-3-1,4-4-2,Home Win,0.04
50,Team_6,Team_9,1484,1477,7,8,13,-5,1.08,1.13,0.85,1.99,58.92,36.55,9.76,6.31,Possession,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Draw,-0.91
51,Team_3,Team_15,1649,1837,-188,5,2,3,1.7,2.46,1.44,1.45,61.92,37.11,7.88,6.4,Possession,Defensive,Low Block,High Press,5-3-2,4-3-3,Away Win,0.25
52,Team_18,Team_1,1606,1628,-22,4,13,-9,2.12,0.99,0.73,0.52,48.76,52.14,11.49,12.12,Attacking,Attacking,Counter Attack,Counter Attack,4-4-2,4-4-2,Away Win,1.6
53,Team_14,Team_16,1846,1707,139,8,5,3,1.54,2.59,1.01,1.39,57.44,45.52,12.43,17.79,Attacking,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,0.15
54,Team_13,Team_2,1907,1468,439,1,5,-4,1.63,1.26,1.58,0.91,41.9,54.39,7.79,8.13,Possession,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,0.72
55,Team_13,Team_9,1773,1919,-146,3,7,-4,2.1,1.45,1.99,1.38,64.33,36.69,9.13,17.51,Defensive,Possession,Low Block,High Press,5-3-2,4-3-3,Home Win,0.72
56,Team_18,Team_16,1865,1933,-68,4,5,-1,0.78,1.56,0.85,1.12,52.59,49.31,6.55,17.19,Possession,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Draw,-0.34
57,Team_7,Team_2,1520,1613,-93,14,7,7,2.51,2.62,0.6,0.97,60.16,42.32,8.58,8.93,Defensive,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Draw,1.54
58,Team_2,Team_2,1455,1925,-470,9,11,-2,1.35,1.56,1.77,0.56,46.31,55.82,18.53,13.16,Attacking,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,0.79
59,Team_2,Team_17,1907,1673,234,9,5,4,1.73,1.06,0.96,1.14,40.5,57.72,8.96,10.58,Possession,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,0.59
60,Team_3,Team_20,1936,1544,392,12,3,9,1.59,1.32,1.6,1.32,54.6,47.77,13.81,14.21,Attacking,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,0.27
61,Team_4,Team_19,1994,1953,41,8,4,4,1.34,1.99,1.47,1.11,64.66,36.4,9.32,7.42,Attacking,Defensive,Counter Attack,Balanced,4-4-2,4-2-3-1,Draw,0.23
62,Team_3,Team_14,1981,1902,79,3,13,-10,0.93,1.16,0.79,2.02,42.01,58.24,11.75,19.75,Defensive,Attacking,Balanced,Counter Attack,4-2-3-1,4-4-2,Away Win,-1.09
63,Team_7,Team_11,1622,1405,217,1,3,-2,2.73,2.49,1.89,0.94,44.27,57.42,19.01,13.79,Counter,Counter,High Press,Low Block,4-3-3,5-3-2,Home Win,1.79
64,Team_13,Team_5,1791,1425,366,2,12,-10,2.27,0.93,1.05,1.22,52.69,44.73,7.61,14.55,Defensive,Counter,High Press,Low Block,4-3-3,5-3-2,Home Win,1.05
65,Team_11,Team_3,1719,1949,-230,4,13,-9,0.86,1.61,1.41,0.59,48.42,47.92,6.89,19.86,Counter,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,0.27
66,Team_20,Team_19,1412,1567,-155,1,3,-2,1.09,2.07,1.79,1.51,51.79,47.33,10.88,19.01,Attacking,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.42
67,Team_7,Team_17,1717,1635,82,1,13,-12,2.65,2.78,0.85,1.14,63.16,39.06,6.67,16.94,Attacking,Attacking,Counter Attack,Counter Attack,4-4-2,4-4-2,Away Win,1.51
68,Team_3,Team_8,1628,1669,-41,11,13,-2,2.4,0.93,0.9,1.58,62.7,35.46,14.24,15.56,Counter,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Draw,0.82
69,Team_6,Team_15,1694,1925,-231,2,12,-10,1.19,2.22,1.35,0.89,62.49,36.35,13.61,18.69,Counter,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,0.3
70,Team_18,Team_10,1438,1597,-159,5,2,3,1.94,1.27,0.74,1.85,55.5,44.83,18.51,17.04,Counter,Attacking,Low Block,High Press,5-3-2,4-3-3,Away Win,0.09
71,Team_4,Team_4,1949,1840,109,0,12,-12,1.07,2.21,0.56,1.47,59.06,44.71,10.79,17.5,Attacking,Defensive,Counter Attack,Balanced,4-4-2,4-2-3-1,Draw,-0.4
72,Team_20,Team_7,1558,1627,-69,12,7,5,1.89,1.66,1.42,1.33,50.22,52.5,6.17,14.38,Defensive,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Draw,0.56
73,Team_9,Team_17,1691,1682,9,4,3,1,0.92,2.59,1.49,1.18,51.55,52.92,8.15,14.21,Counter,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,-0.26
74,Team_2,Team_3,1609,1859,-250,11,3,8,2.61,2.32,0.54,1.61,59.28,39.46,6.96,7.08,Possession,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,1.0
75,Team_2,Team_1,1861,1695,166,8,5,3,2.59,0.78,0.9,0.78,44.66,58.71,10.65,10.36,Possession,Counter,High Press,Low Block,4-3-3,5-3-2,Home Win,1.81
76,Team_9,Team_6,1770,1830,-60,8,4,4,1.27,2.35,0.51,1.07,49.95,50.42,18.88,10.85,Counter,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,0.2
77,Team_18,Team_1,1609,1874,-265,1,10,-9,1.54,1.02,1.27,0.74,44.41,55.57,11.86,18.81,Possession,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,0.8
78,Team_5,Team_18,1576,1684,-108,14,10,4,1.95,0.53,1.63,0.8,64.03,32.46,11.8,7.19,Attacking,Attacking,Counter Attack,Counter Attack,4-4-2,4-4-2,Away Win,1.15
79,Team_19,Team_18,1759,1960,-201,6,0,6,1.21,1.41,1.23,1.86,48.73,50.95,14.75,11.29,Attacking,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.65
80,Team_5,Team_2,1543,1823,-280,2,1,1,1.18,2.14,1.4,1.41,52.03,47.94,16.71,7.44,Defensive,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.23
81,Team_2,Team_12,1663,1454,209,6,2,4,1.36,1.12,1.59,1.19,40.63,55.93,16.02,15.22,Counter,Counter,High Press,Low Block,4-3-3,5-3-2,Home Win,0.17
82,Team_4,Team_12,1712,1842,-130,14,12,2,1.87,1.28,1.47,2.01,53.92,48.29,17.27,19.84,Defensive,Defensive,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.14
83,Team_8,Team_6,1687,1519,168,13,10,3,2.71,2.67,0.74,1.19,48.1,47.77,14.87,16.3,Possession,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,1.52
84,Team_6,Team_11,1484,1546,-62,12,2,10,1.84,1.47,2.02,1.89,48.55,49.04,11.32,14.26,Defensive,Possession,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,-0.05
85,Team_6,Team_4,1795,1931,-136,4,4,0,1.44,1.77,1.24,1.0,63.71,38.93,7.96,18.16,Possession,Defensive,Low Block,High Press,5-3-2,4-3-3,Draw,0.44
86,Team_8,Team_7,1458,1527,-69,0,1,-1,0.55,1.12,1.42,1.58,46.45,49.94,17.69,19.78,Possession,Attacking,Balanced,Counter Attack,4-2-3-1,4-4-2,Draw,-1.03
87,Team_10,Team_8,1841,1428,413,12,1,11,1.13,0.54,2.05,0.7,54.41,43.33,13.76,15.12,Possession,Counter,High Press,Low Block,4-3-3,5-3-2,Home Win,0.43
88,Team_7,Team_13,1777,1987,-210,6,4,2,0.53,0.81,2.03,1.99,54.94,46.07,15.31,8.46,Defensive,Attacking,Low Block,High Press,5-3-2,4-3-3,Away Win,-1.46
89,Team_9,Team_12,1800,1875,-75,13,9,4,1.47,1.31,2.13,0.81,42.26,60.45,6.96,17.72,Counter,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,0.66
90,Team_1,Team_4,1410,1911,-501,3,0,3,2.16,1.9,2.11,1.17,63.85,32.5,12.77,9.78,Possession,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,0.99
91,Team_19,Team_9,1547,1866,-319,2,3,-1,0.62,1.64,1.51,1.07,59.27,36.8,7.05,16.19,Counter,Defensive,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.45
92,Team_20,Team_14,1616,1460,156,10,7,3,1.5,1.07,1.89,1.86,57.37,40.35,14.26,11.05,Attacking,Attacking,High Press,Low Block,4-3-3,5-3-2,Home Win,-0.36
93,Team_20,Team_17,1443,1416,27,9,8,1,1.53,0.93,1.42,1.98,58.31,44.76,15.22,15.69,Counter,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Draw,-0.45
94,Team_19,Team_7,1599,1936,-337,1,8,-7,1.99,2.09,0.59,1.64,41.1,59.78,19.99,13.78,Attacking,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,0.35
95,Team_14,Team_1,1485,1649,-164,6,13,-7,0.78,2.18,0.83,0.7,50.54,52.41,16.43,6.77,Counter,Attacking,Low Block,High Press,5-3-2,4-3-3,Away Win,0.08
96,Team_3,Team_11,1801,1842,-41,9,6,3,0.59,1.87,0.89,0.7,41.92,60.04,10.76,16.15,Defensive,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Draw,-0.11
97,Team_10,Team_17,1763,1438,325,14,7,7,1.74,2.32,1.04,1.56,62.15,39.01,9.26,6.34,Counter,Attacking,High Press,Low Block,4-3-3,5-3-2,Home Win,0.18
98,Team_11,Team_13,1569,1945,-376,13,10,3,2.51,1.72,2.1,1.86,64.95,33.56,16.74,11.63,Counter,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,0.65
99,Team_14,Team_13,1644,1671,-27,7,11,-4,2.76,2.27,1.21,1.22,58.44,38.95,7.55,10.96,Counter,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,1.54
100,Team_13,Team_18,1723,1545,178,13,4,9,0.6,0.54,2.18,1.23,49.61,52.19,9.06,19.3,Defensive,Counter,High Press,Low Block,4-3-3,5-3-2,Home Win,-0.63
101,Team_10,Team_7,1460,1779,-319,5,6,-1,2.52,2.67,1.29,1.54,44.18,60.73,9.24,19.2,Attacking,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,0.98
102,Team_15,Team_15,1974,1709,265,4,2,2,1.68,1.03,0.8,0.87,44.66,58.14,10.9,6.81,Possession,Counter,High Press,Low Block,4-3-3,5-3-2,Home Win,0.81
103,Team_17,Team_16,1446,1920,-474,2,3,-1,2.79,0.9,1.17,1.79,57.4,39.14,17.42,9.14,Possession,Defensive,Low Block,High Press,5-3-2,4-3-3,Away Win,1.0
104,Team_17,Team_20,1519,1488,31,8,3,5,1.83,0.71,1.99,0.95,43.24,60.65,19.38,18.07,Defensive,Attacking,Balanced,Counter Attack,4-2-3-1,4-4-2,Draw,0.88
105,Team_10,Team_8,1920,1862,58,7,8,-1,1.77,0.7,1.19,1.13,46.49,55.74,12.94,7.13,Counter,Attacking,Balanced,Counter Attack,4-2-3-1,4-4-2,Home Win,0.64
106,Team_1,Team_2,1715,1992,-277,1,7,-6,2.53,1.69,2.04,1.47,56.55,43.89,18.1,16.27,Defensive,Defensive,Low Block,High Press,5-3-2,4-3-3,Away Win,1.06
107,Team_3,Team_15,1615,1546,69,7,11,-4,2.46,2.49,1.7,1.92,57.44,44.36,14.66,16.54,Defensive,Possession,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,0.54
108,Team_13,Team_16,1406,1532,-126,10,12,-2,2.51,0.57,1.9,0.72,48.38,54.06,8.25,17.45,Possession,Defensive,Low Block,High Press,5-3-2,4-3-3,Away Win,1.79
109,Team_1,Team_4,1988,1923,65,6,1,5,1.16,1.92,2.17,1.57,46.5,54.84,13.56,16.92,Possession,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,-0.41
110,Team_17,Team_15,1725,1866,-141,13,6,7,1.74,2.71,1.08,1.58,63.3,32.73,19.12,15.63,Possession,Defensive,Low Block,High Press,5-3-2,4-3-3,Home Win,0.16
111,Team_15,Team_5,1641,1723,-82,10,0,10,2.27,2.13,1.31,0.6,41.87,61.65,19.86,15.46,Attacking,Defensive,Counter Attack,Balanced,4-4-2,4-2-3-1,Home Win,1.67
112,Team_15,Team_20,1626,1780,-154,11,6,5,0.65,2.39,1.13,1.89,46.31,48.7,8.23,12.56,Possession,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,-1.24
113,Team_6,Team_16,1915,1498,417,12,8,4,0.88,2.33,1.68,0.88,42.06,59.74,15.16,9.83,Possession,Possession,High Press,Low Block,4-3-3,5-3-2,Home Win,0.0
114,Team_9,Team_17,1781,1839,-58,11,12,-1,2.67,1.47,1.59,1.18,46.86,57.98,11.73,18.52,Possession,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,1.49
115,Team_9,Team_15,1926,1561,365,12,2,10,0.57,2.0,1.13,1.97,51.83,52.85,8.6,18.16,Possession,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,-1.4
116,Team_8,Team_9,1708,1919,-211,14,10,4,2.44,2.25,1.56,0.72,40.81,63.4,14.63,17.15,Attacking,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,1.72
117,Team_3,Team_5,1552,1605,-53,6,0,6,1.9,1.07,1.45,0.88,44.02,57.5,10.56,14.26,Counter,Counter,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,1.02
118,Team_13,Team_5,1983,1794,189,12,0,12,0.53,0.67,1.17,1.32,55.0,42.92,15.73,18.04,Defensive,Defensive,High Press,Low Block,4-3-3,5-3-2,Home Win,-0.79
119,Team_14,Team_14,1501,1824,-323,7,10,-3,1.61,0.74,0.91,2.18,43.56,56.43,14.65,15.83,Defensive,Attacking,Low Block,High Press,5-3-2,4-3-3,Away Win,-0.57
120,Team_14,Team_2,1641,1401,240,0,0,0,2.53,0.69,1.9,1.11,48.05,56.72,8.81,15.7,Counter,Possession,High Press,Low Block,4-3-3,5-3-2,Home Win,1.42
121,Team_19,Team_1,1542,1505,37,6,11,-5,0.74,1.96,1.7,0.55,63.41,32.11,13.58,15.93,Defensive,Possession,Balanced,Balanced,4-2-3-1,4-2-3-1,Draw,0.19
122,Team_12,Team_10,1663,1717,-54,3,13,-10,1.91,1.61,1.62,1.44,54.94,47.9,12.73,6.57,Possession,Possession,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,0.47
123,Team_18,Team_20,1413,1411,2,6,11,-5,0.87,2.51,0.87,2.16,48.42,48.4,17.06,15.22,Possession,Possession,Balanced,Balanced,4-2-3-1,4-2-3-1,Away Win,-1.29
124,Team_8,Team_9,1706,1993,-287,5,1,4,2.0,1.26,1.42,1.34,42.04,56.99,9.09,11.86,Defensive,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,0.66
125,Team_13,Team_11,1606,1752,-146,6,11,-5,0.9,2.71,1.21,1.94,55.72,46.63,16.75,13.07,Possession,Possession,Low Block,High Press,5-3-2,4-3-3,Home Win,-1.04
126,Team_5,Team_20,1961,1819,142,9,4,5,1.41,1.89,1.52,1.85,56.38,48.54,9.97,11.03,Possession,Defensive,High Press,Low Block,4-3-3,5-3-2,Draw,-0.44
127,Team_19,Team_19,1636,1929,-293,7,4,3,2.19,0.8,1.72,2.05,44.49,52.89,19.6,8.53,Attacking,Possession,Low Block,High Press,5-3-2,4-3-3,Away Win,0.14
128,Team_14,Team_5,1952,1717,235,5,11,-6,1.43,1.86,1.49,1.63,42.38,59.14,10.37,11.59,Attacking,Attacking,High Press,Low Block,4-3-3,5-3-2,Home Win,-0.2
129,Team_9,Team_13,1562,1628,-66,4,14,-10,1.85,1.88,1.17,0.9,45.87,57.97,12.19,10.63,Possession,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,0.95
130,Team_11,Team_11,1760,1656,104,4,3,1,1.85,2.68,0.93,1.11,49.48,51.58,10.99,13.47,Counter,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Draw,0.74
131,Team_14,Team_9,1704,1896,-192,7,11,-4,1.53,2.49,1.45,1.42,40.85,64.02,7.72,9.24,Possession,Counter,Low Block,High Press,5-3-2,4-3-3,Away Win,0.11
132,Team_1,Team_18,1681,1400,281,6,2,4,1.54,2.65,1.04,1.36,41.04,55.44,19.81,19.51,Attacking,Possession,High Press,Low Block,4-3-3,5-3-2,Home Win,0.18
133,Team_3,Team_2,1525,1616,-91,1,12,-11,2.5,1.55,1.38,1.33,56.67,39.73,6.42,10.31,Attacking,Counter,Counter Attack,Balanced,4-4-2,4-2-3-1,Home Win,1.17
134,Team_1,Team_20,1735,1774,-39,7,1,6,0.93,2.18,0.77,0.9,64.08,33.47,15.26,19.7,Attacking,Defensive,Counter Attack,Balanced,4-4-2,4-2-3-1,Home Win,0.03
135,Team_16,Team_4,1826,1813,13,1,1,0,1.92,2.5,1.47,0.55,63.27,38.63,15.47,9.02,Defensive,Defensive,Balanced,Balanced,4-2-3-1,4-2-3-1,Home Win,1.37
